code,name,req,score,row
K57902,河西学院第02组,化,475,K57902 | 河西学院第02组 | 化 | 475 | 188 | 96 | 69 | 50 | 85 | 83 | 19
K58002,兰州财经大学第02组,不限,506,K58002 | 兰州财经大学第02组 | 不限 | 506 | 205 | 110 | 95 | 51 | 78 | 77 | 2
K58003,兰州财经大学第03组,不限,504,K58003 | 兰州财经大学第03组 | 不限 | 504 | 191 | 101 | 99 | 49 | 90 | 75
K58004,兰州财经大学第04组,不限,501,K58004 | 兰州财经大学第04组 | 不限 | 501 | 186 | 103 | 115 | 50 | 84 | 66
K58005,兰州财经大学第05组,化,515,K58005 | 兰州财经大学第05组 | 化 | 515 | 199 | 105 | 105 | 59 | 79 | 73
K58103,甘肃政法大学第03组,不限,540,K58103 | 甘肃政法大学第03组 | 不限 | 540 | 221 | 113 | 96 | 65 | 83 | 75
K58104,甘肃政法大学第04组,不限,531,K58104 | 甘肃政法大学第04组 | 不限 | 531 | 208 | 109 | 107 | 56 | 81 | 79
K58105,甘肃政法大学第05组,化,528,K58105 | 甘肃政法大学第05组 | 化 | 528 | 205 | 115 | 123 | 52 | 77 | 71 | 7
K58202,甘肃民族师范学院第02组,化,476,K58202 | 甘肃民族师范学院第02组 | 化 | 476 | 224 | 128 | 80 | 35 | 69 | 68 | 5
K58302,兰州文理学院第02组,化,487,K58302 | 兰州文理学院第02组 | 化 | 487 | 193 | 97 | 90 | 55 | 75 | 74 | 4
K58401,甘肃医学院第01组,化,499,K58401 | 甘肃医学院第01组 | 化 | 499 | 206 | 109 | 73 | 49 | 86 | 85
K58402,甘肃医学院第02组,化,478,K58402 | 甘肃医学院第02组 | 化 | 478 | 188 | 101 | 105 | 52 | 68 | 65 | 13
K58501,兰州工业学院第01组,化,480,K58501 | 兰州工业学院第01组 | 化 | 480 | 193 | 103 | 102 | 51 | 77 | 57 | 5
K58601,兰州资源环境职业技术大学第01组,不限,486,K58601 | 兰州资源环境职业技术大学第01组 | 不限 | 486 | 191 | 107 | 91 | 60 | 80 | 64
K58701,兰州石化职业技术大学第01组,不限,528,K58701 | 兰州石化职业技术大学第01组 | 不限 | 528 | 203 | 108 | 95 | 67 | 83 | 80
K58702,兰州石化职业技术大学第02组,化,481,K58702 | 兰州石化职业技术大学第02组 | 化 | 481 | 223 | 117 | 47 | 56 | 81 | 74
K61802,兰州博文科技学院第02组,化,426,K61802 | 兰州博文科技学院第02组 | 化 | 426 | 168 | 88 | 81 | 55 | 66 | 56
K61901,兰州信息科技学院第01组,化,428,K61901 | 兰州信息科技学院第01组 | 化 | 428 | 183 | 97 | 81 | 38 | 65 | 61
K65002,青海大学第02组,不限,571,K65002 | 青海大学第02组 | 不限 | 571 | 209 | 113 | 120 | 62 | 92 | 78
K65003,青海大学第03组,不限,571,K65003 | 青海大学第03组 | 不限 | 571 | 224 | 116 | 125 | 58 | 92 | 72 | 4
K65004,青海大学第04组,不限,578,K65004 | 青海大学第04组 | 不限 | 578 | 220 | 115 | 123 | 65 | 90 | 80
K65005,青海大学第05组,化,555,K65005 | 青海大学第05组 | 化 | 555 | 216 | 119 | 95 | 73 | 93 | 78 | 13
K65006,青海大学第06组,化和生,549,K65006 | 青海大学第06组 | 化和生 | 549 | 204 | 107 | 114 | 58 | 89 | 84
K65102,青海师范大学第02组,化,509,K65102 | 青海师范大学第02组 | 化 | 509 | 194 | 99 | 101 | 46 | 86 | 82
K65103,青海师范大学第03组,地,517,K65103 | 青海师范大学第03组 | 地 | 517 | 174 | 111 | 104 | 75 | 85 | 79
K65205,青海民族大学第05组,化,500,K65205 | 青海民族大学第05组 | 化 | 500 | 192 | 98 | 113 | 51 | 78 | 66
K65206,青海民族大学第06组,地,459,K65206 | 青海民族大学第06组 | 地 | 459 | 166 | 89 | 112 | 38 | 73 | 70
K65301,青海理工学院第01组,化,483,K65301 | 青海理工学院第01组 | 化 | 483 | 182 | 102 | 91 | 57 | 87 | 66
K69203,宁夏大学第03组,578,225,K69203 | 宁夏大学第03组 | 578 | 225 | 117 | 111 | 69 | 89 | 84 | 5
K69204,宁夏大学第04组,557,221,K69204 | 宁夏大学第04组 | 557 | 221 | 117 | 122 | 54 | 80 | 80 | 4
K69205,宁夏大学第05组,化,573,K69205 | 宁夏大学第05组 | 化 | 573 | 228 | 124 | 127 | 64 | 81 | 73 | 11
K69206,宁夏大学第06组,化,558,K69206 | 宁夏大学第06组 | 化 | 558 | 211 | 115 | 127 | 58 | 90 | 72
K69207,宁夏大学第07组,化,578,K69207 | 宁夏大学第07组 | 化 | 578 | 231 | 117 | 107 | 70 | 90 | 80 | 3
K69301,宁夏医科大学第01组,化,560,K69301 | 宁夏医科大学第01组 | 化 | 560 | 209 | 106 | 125 | 59 | 84 | 83
K69302,宁夏医科大学第02组,化,437,K69302 | 宁夏医科大学第02组 | 化 | 437 | 178 | 96 | 53 | 49 | 82 | 75 | 33
K72402,宁夏理工学院第02组,化,426,K72402 | 宁夏理工学院第02组 | 化 | 426 | 177 | 105 | 89 | 24 | 78 | 58 | 10
K72501,宁夏大学新华学院第01组,不限,442,K72501 | 宁夏大学新华学院第01组 | 不限 | 442 | 157 | 82 | 89 | 58 | 70 | 68 | 4
K72502,宁夏大学新华学院第02组,化,439,K72502 | 宁夏大学新华学院第02组 | 化 | 439 | 198 | 108 | 77 | 35 | 65 | 64 | 28
K72702,银川科技学院第02组,化,426,K72702 | 银川科技学院第02组 | 化 | 426 | 171 | 94 | 37 | 45 | 65 | 58
K74702,新疆大学第02组,不限,555,K74702 | 新疆大学第02组 | 不限 | 555 | 223 | 117 | 120 | 49 | 85 | 78
K74703,新疆大学第03组,化,550,K74703 | 新疆大学第03组 | 化 | 550 | 209 | 106 | 107 | 65 | 87 | 82
K74704,新疆大学第04组,地,566,K74704 | 新疆大学第04组 | 地 | 566 | 212 | 107 | 119 | 54 | 88 | 83 | 6
K74802,塔里木大学第02组,不限,473,K74802 | 塔里木大学第02组 | 不限 | 473 | 194 | 99 | 51 | 57 | 89 | 82
K74803,塔里木大学第03组,化,475,K74803 | 塔里木大学第03组 | 化 | 475 | 184 | 101 | 108 | 39 | 72 | 72
K74804,塔里木大学第04组,化和生,479,K74804 | 塔里木大学第04组 | 化和生 | 479 | 188 | 99 | 90 | 42 | 87 | 72
K74805,塔里木大学第05组,化,472,K74805 | 塔里木大学第05组 | 化 | 472 | 165 | 87 | 99 | 56 | 77 | 65 | 15 | 国家专项计划
K74903,新疆农业大学第03组,不限,486,K74903 | 新疆农业大学第03组 | 不限 | 486 | 190 | 100 | 88 | 42 | 88 | 78
K74904,新疆农业大学第04组,不限,471,K74904 | 新疆农业大学第04组 | 不限 | 471 | 164 | 94 | 117 | 39 | 86 | 65 | 5
K74905,新疆农业大学第05组,化,474,K74905 | 新疆农业大学第05组 | 化 | 474 | 203 | 120 | 68 | 55 | 83 | 65 | 13
