page,code,name,req,score,语数之和,语数最高,外语,物理,再选最高,再选次高,志愿号,备注,row
39,H08602,温州肯恩大学第02组,不限,540,196,111,办130,66,77,Z71,8,,H08602 | 温州肯恩大学第02组 | 不限 | 540 | 196 | 111 | 办130 | 66 | 77 | Z71 | 8
39,H11602,安徽大学第02组,不限,609,223,121,119,81,S95,91,9,,H11602 | 安徽大学第02组 | 不限 | 609 | 223 | 121 | 119 | 81 | S95 | 91 | 9
39,H11603,安徽大学第03组,不限,592,215,会117,129,B71,91,86,15,,H11603 | 安徽大学第03组 | 不限 | 592 | 215 | 会117 | 129 | B71 | 91 | 86 | 15
39,H11702,安徽工业大学第02组,不限,557,员209,117,108,H59,86,85,19,,H11702 | 安徽工业大学第02组 | 不限 | 557 | 员209 | 117 | 108 | H59 | 86 | 85 | 19
39,H11703,安徽工业大学第03组,不限,555,212,119,【94,70,91,88,10,,H11703 | 安徽工业大学第03组 | 不限 | 555 | 212 | 119 | 【94 | 70 | 91 | 88 | 10
39,H11705,安徽工业大学第05组,化或生,456,172,】101,79,42,90,73,20,,H11705 | 安徽工业大学第05组 | 化或生 | 456 | 172 | 】101 | 79 | 42 | 90 | 73 | 20
39,H11803,安徽理工大学第03组,生不限,531,办211,109,109,48,87,76,45,,H11803 | 安徽理工大学第03组 | 生不限 | 531 | 办211 | 109 | 109 | 48 | 87 | 76 | 45
39,H11804,安徽理工大学第04组,招不限,541,219,110,87,73,83,79,5,,H11804 | 安徽理工大学第04组 | 招不限 | 541 | 219 | 110 | 87 | 73 | 83 | 79 | 5
39,H11902,学安徽工程大学第02组,不限,531,210,106,108,64,81,68,8,,H11902 | 学安徽工程大学第02组 | 不限 | 531 | 210 | 106 | 108 | 64 | 81 | 68 | 8
39,H11903,安徽工程大学第03组,北化,516,180,92,97,72,86,81,8,,H11903 | 安徽工程大学第03组 | 北化 | 516 | 180 | 92 | 97 | 72 | 86 | 81 | 8
39,H12003,等湖安徽农业大学第03组,不限,542,198,112,107,67,90,80,7,,H12003 | 等湖安徽农业大学第03组 | 不限 | 542 | 198 | 112 | 107 | 67 | 90 | 80 | 7
