志愿序号,草案梯度,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,是否建议填入6专业,专业选择顺位,专业角色判断,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,第19期页码,版面列,专业行ID,专业组出现ID
4,冲刺待补历史,F117,安徽工业大学,F11702,18,23,软件工程（办学地点：佳山校区）,true,3,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,144,left,M-cb5548f786c5c869,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,13,18,计算机科学与技术（办学地点：佳山校,true,4,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,144,left,M-7b6561d6f719e168,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,6,10,电子信息工程（办学地点：佳山校区）二高分子材料与工程（办学地点：佳山校,true,5,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-57d566d166e1e8d1,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,19,24,通信工程（办学地点：佳山校区）,true,6,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,144,left,M-5527be2f5a0c02c1,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,21,26,徹电子科学与工程（办学地点：秀山校,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,144,left,M-69fb06fd682c0a16,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,5,09,电气工程及其自动化（办学地点：佳山校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-ac84d3b10b3802ad,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,11,16,机器人工程（办学地点：佳山校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-64498ad36c5c276b,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,12,17,机械设计制造及其自动化（办学地点：KA◎ZG院校专业组及专业代号佳山校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-43f4c7f8e5b6b366,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,25,30,自动化（办学地点：佳山校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,144,left,M-ecddf33bb13f8b7c,G-c5ce24d41d1f9e63
4,冲刺待补历史,F117,安徽工业大学,F11702,10,15,环境工程（办学地点：佳山校区）,false,,可了解-环境,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,143,right,M-9e9c4a191a415c39,G-c5ce24d41d1f9e63
